papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y,setor,valor_de_mercado,empresa,dt_ultima_cot
SMTO3,29.56,7.52,1.58,1.423,0.030299999999999997,0.473,3.32,9.61,-1.25,16.21,5.01,0.1481,0.1894,0.060700000000000004,0.21030000000000001,1.8,47644300.0,6478960000.0,1.61,0.1628,Alimentos Processados,10238800000,SAO MARTINHO ON NM,2024-08-21
SNSY5,5.56,-0.83,-0.02,0.048,0.0,0.082,-2.52,1.14,-0.02,5.34,3.75,0.0418,-0.0562,0.0827,0.0269,0.95,22730.0,-1915230000.0,-0.09,0.1868,Materiais Diversos,42901000,SANSUY S.A. INDÚSTRIA DE PLÁSTICOS PNA,2024-08-21
SOJA3,13.49,6.27,1.41,0.92,0.0608,0.57,1.59,7.6,2.04,8.14,7.62,0.121,0.17980000000000002,0.1155,0.225,1.98,7674800.0,1294970000.0,0.74,0.5011,Agropecuária,1825500000,BOA SAFRA ON NM,2024-08-21
SOMA3,5.94,-2.81,0.8,0.867,0.0,0.486,2.01,7.45,19.87,9.24,6.13,0.11630000000000001,-0.3081,0.0781,-0.2852,2.36,26693800.0,5809620000.0,0.33,0.5893999999999999,Comércio,4661400000,GRUPO SOMA ON NM,2024-07-31
SOND3,46.01,17.0,2.15,0.67,0.09970000000000001,1.122,3.88,4.52,6.95,3.47,2.96,0.1484,0.0397,0.3446,0.1268,1.82,0.0,52489000.0,0.0,0.3201,Construção e Engenharia,113093000,SONDOTECNICA S/A. ON,2022-04-26
SOND5,60.0,22.17,2.81,0.874,0.08410000000000001,1.463,5.06,5.89,9.06,4.85,4.13,0.1484,0.0397,0.3446,0.1268,1.82,0.0,52489000.0,0.0,0.3201,Construção e Engenharia,147480000,SONDOTECNICA S/A. PNA,2024-04-30
SOND6,55.0,20.32,2.58,0.801,0.0917,1.341,4.64,5.4,8.3,4.36,3.71,0.1484,0.0397,0.3446,0.1268,1.82,0.0,52489000.0,0.0,0.3201,Construção e Engenharia,135190000,SONDOTECNICA S/A. PNB,2024-05-02
SPRI3,10.51,-1.61,1.19,0.0,0.0,1.143,2.23,-3.07,2.36,-2.72,-2.74,0.0,0.0,-0.4286,-0.7382,66.47,0.0,22420000.0,0.0,-0.0733,,26579800,SPRINGER ON,2020-09-09
SPRI5,8.52,-1.3,0.96,0.0,0.0,0.927,1.81,-2.49,1.91,-2.14,-2.15,0.0,0.0,-0.4286,-0.7382,66.47,0.0,22420000.0,0.0,-0.0733,,21547100,SPRINGER PNA,2020-09-02
SPRI6,11.0,-1.68,1.24,0.0,0.0,1.196,2.33,-3.21,2.47,-2.86,-2.88,0.0,0.0,-0.4286,-0.7382,66.47,0.0,22420000.0,0.0,-0.0733,,27819000,SPRINGER PNB,2020-08-27
SQIA3,27.37,-110.33,3.7,3.592,0.0,1.49,25.87,62.33,-3.84,67.32,18.5,0.0576,-0.0288,0.0281,-0.0335,1.43,0.0,650717000.0,0.65,0.4632,Programas e Serviços,2406970000,SINQIA ON,2023-11-01
SRNA3,8.96,19.86,1.05,1.694,0.0,0.288,-6.21,5.88,-0.48,16.86,10.33,0.28809999999999997,0.0852,0.0535,0.0529,0.72,15796100.0,5313580000.0,2.21,0.6003000000000001,Energia Elétrica,5579670000,SERENA ON NM,2024-08-21
STBP11,14.4,3.64,1.08,0.976,0.0,0.516,-62.22,2.4,-1.4,2.62,2.14,0.4068,0.2682,0.2372,0.2975,0.95,0.0,2297950000.0,0.23,0.28550000000000003,Transporte,2488810000,SBPAR UNT,2016-08-19
STBP3,13.85,17.51,5.21,4.696,0.054299999999999994,2.484,-299.23,11.54,-6.71,11.76,9.61,0.4068,0.2682,0.2372,0.2975,0.95,69701100.0,2297950000.0,0.23,0.28550000000000003,Transporte,11968800000,SBPAR ON NM,2024-08-21
STRP4,0.21,-2.85,-0.43,0.416,0.0,0.111,-0.18,-0.45,-0.09,-1.15,-1.15,-0.9181999999999999,-0.1458,-0.25489999999999996,0.1495,0.13,0.0,-12498000.0,-0.66,-0.3639,"Tecidos, Vestuário e Calçados",5332240,STAROUP PN,2011-04-01
SUBA3,84.0,61.95,8.39,8.067,0.0,6.778,8.03,115.78,8.09,106.17,106.17,0.0697,0.13019999999999998,0.1911,0.1354,5.55,0.0,530396000.0,0.0,0.0,,4450230000,ON,2007-08-07
SULA11,22.25,52.23,1.13,0.432,0.0027,0.314,0.85,-13.07,-4.6,6.62,8.51,-0.033,0.0083,-0.0562,0.0217,2.29,0.0,8363840000.0,0.37,0.0166,Previdência e Seguros,9475040000,Sul America UNT N2,2022-12-23
SULA3,7.43,52.32,1.13,0.433,0.0027,0.314,0.85,-13.09,-4.61,6.59,8.48,-0.033,0.0083,-0.0562,0.0217,2.29,0.0,8363840000.0,0.37,0.0166,Previdência e Seguros,9492080000,Sul America ON N2,2022-12-23
SULA4,7.63,53.73,1.17,0.444,0.0026,0.323,0.88,-13.45,-4.73,6.24,8.02,-0.033,0.0083,-0.0562,0.0217,2.29,0.0,8363840000.0,0.37,0.0166,Previdência e Seguros,9747580000,Sul America PN,2022-12-23
